Total Charge,Code,Subtype
PERITONEAL DIALYSIS - SUPPORT SERVICES,0835,PERITONEAL DIALYSIS
OTHER OP PERITONEAL DIALYSIS,0839,PERITONEAL DIALYSIS
CAPD - GENERAL CLASSIFICATION,0840,CAPD
CAPD/COMPOSITE OR OTHER RATE,0841,CAPD
CAPD - HOME SUPPLIES,0842,CAPD
CAPD - HOME EQUIPMENT,0843,CAPD
CAPD - MAINTENANCE - 100%,0844,CAPD
CAPD - SUPPORT SERVICES,0845,CAPD
OTHER OUTPATIENT CAPD,0849,CAPD
CCPD - GENERAL CLASSIFICATION,0850,CCPD
CCPD/COMPOSITE OR OTHER RATE,0851,CCPD
CCPD - HOME SUPPLIES,0852,CCPD
CCPD - HOME EQUIPMENT,0853,CCPD
CCPD - MAINTENANCE - 100%,0854,CCPD
CCPD - SUPPORT SERVICES,0855,CCPD
OTHER OUTPATIENT CCPD,0859,CCPD
MEG - GENERAL CLASSIFICATION,0860,MEG
MEG,0861,MEG
MISC DIALYSIS - GENERAL CLASSIFICATION,0880,MISC DIALYSIS
MISC DIALYSIS - ULTRAFILTRATION,0881,MISC DIALYSIS
MISC DIALYSIS - HOME DIALYSIS,0882,MISC DIALYSIS
MISC DIALYSIS - OTHER MISCELLANEOUS DIALYSIS,0889,MISC DIALYSIS
BEHAVIORAL HEALTH - GENERAL CLASSIFICATION,0900,BEHAVIORAL HEALTH
ELECTROSHOCK TREATMENT,0901,BEHAVIORAL HEALTH
BEHAVIORAL HEALTH - MILIEU THERAPY,0902,BEHAVIORAL HEALTH
BEHAVIORAL HEALTH - PLAY THERAPY,0903,BEHAVIORAL HEALTH
BEHAVIORAL HEALTH - ACTIVITY THERAPY,0904,BEHAVIORAL HEALTH
INTENSIVE OUTPATIENT SERVICES-PSYCHIATRIC,0905,BEHAVIORAL HEALTH
INTENSIVE OUTPATIENT SERVICES-CHEMICAL DEPENDENCY,0906,BEHAVIORAL HEALTH
COMMUNITY BEHAVIORAL HEALTH PROGRAM (DAY TREATMENT),0907,BEHAVIORAL HEALTH
BEHAVIORAL HEALTH - REHABILITATION,0911,BEHAVIORAL HEALTH
BEHAVIORAL HEALTH - PARTIAL HOSPITALIZATION - LESS INTENSIVE,0912,BEHAVIORAL HEALTH
BEHAVIORAL HEALTH - PARTIAL HOSPITALIZATION - INTENSIVE,0913,BEHAVIORAL HEALTH
BEHAVIORAL HEALTH - INDIVIDUAL THERAPY,0914,BEHAVIORAL HEALTH
BEHAVIORAL HEALTH - GROUP THERAPY,0915,BEHAVIORAL HEALTH
BEHAVIORAL HEALTH - FAMILY THERAPY,0916,BEHAVIORAL HEALTH
BEHAVIORAL HEALTH - BIO FEEDBACK,0917,BEHAVIORAL HEALTH
BEHAVIORAL HEALTH - TESTING,0918,BEHAVIORAL HEALTH
OTHER BEHAVIORAL HEALTH TREATMENTS,0919,BEHAVIORAL HEALTH
OTHER DIAGNOSTIC SERVICES - GENERAL CLASSIFICATION,0920,OTHER DIAGNOSTIC SERVICES
PERIPHERAL VASCULAR LAB,0921,OTHER DIAGNOSTIC SERVICES
ELECTROMYELGRAM,0922,OTHER DIAGNOSTIC SERVICES
PAP SMEAR,0923,OTHER DIAGNOSTIC SERVICES
ALLERGY TEST,0924,OTHER DIAGNOSTIC SERVICES
PREGNANCY TEST,0925,OTHER DIAGNOSTIC SERVICES
OTHER DIAGNOSTIC SERVICE,0929,OTHER DIAGNOSTIC SERVICES
MEDICAL REHAB DAY PROGRAM - HALF DAY,0931,MEDICAL REHAB DAY PROGRAM
MEDICAL REHAB DAY PROGRAM - FULL DAY,0932,MEDICAL REHAB DAY PROGRAM
OTHER THERAPEUTIC SERVICES - GENERAL CLASSIFICATION,0940,OTHER THERAPEUTIC SERVICES
OTHER THERAPEUTIC SERVICES - RECREATIONAL THERAPY,0941,OTHER THERAPEUTIC SERVICES
OTHER THERAPEUTIC SERVICES - EDUCATION/TRAINING,0942,OTHER THERAPEUTIC SERVICES
OTHER THERAPEUTIC SERVICES - CARDIAC REHABILITATION,0943,OTHER THERAPEUTIC SERVICES
OTHER THERAPEUTIC SERVICES - DRUG REHABILITATION,0944,OTHER THERAPEUTIC SERVICES
OTHER THERAPEUTIC SERVICES - ALCOHOL REHABILITATION,0945,OTHER THERAPEUTIC SERVICES
OTHER THERAPEUTIC SERVICES - COMPLEX MEDICAL EQUIPMENT - ROUTINE,0946,OTHER THERAPEUTIC SERVICES
OTHER THERAPEUTIC SERVICES - COMPLEX MEDICAL EQUIPMENT - ANCILLARY,0947,OTHER THERAPEUTIC SERVICES
PULMONARY REHABILITATION,0948,OTHER THERAPEUTIC SERVICES
OTHER THERAPEUTIC SERVICES,0949,OTHER THERAPEUTIC SERVICES
OTHER THERAPEUTIC SERVICES - ATHLETIC TRAINING,0951,OTHER THERAPEUTIC SERVICES
OTHER THERAPEUTIC SERVICES - KINESIOTHERAPY,0952,OTHER THERAPEUTIC SERVICES
PROFESSIONAL FEES - GENERAL CLASSIFICATION,0960,PROFESSIONAL FEES
PROFESSIONAL FEES - PSYCHIATRIC,0961,PROFESSIONAL FEES
PROFESSIONAL FEES - OPHTHALMOLOGY,0962,PROFESSIONAL FEES
PROFESSIONAL FEES - ANESTHESIOLOGIST (MD),0963,PROFESSIONAL FEES
PROFESSIONAL FEES - ANESTHETIST (CRNA),0964,PROFESSIONAL FEES
PROFESSIONAL FEES - OTHER PROFESSIONAL FEE,0969,PROFESSIONAL FEES
PROFESSIONAL FEES - LABORATORY,0971,PROFESSIONAL FEES
PROFESSIONAL FEES - RADIOLOGY-DIAGNOSTIC,0972,PROFESSIONAL FEES
PROFESSIONAL FEES - RADIOLOGY-THERAPEUTIC,0973,PROFESSIONAL FEES
PROFESSIONAL FEES - RADIOLOGY-NUCLEAR,0974,PROFESSIONAL FEES
PROFESSIONAL FEES - OPERATING ROOM,0975,PROFESSIONAL FEES
PROFESSIONAL FEES - RESPIRATORY THERAPY,0976,PROFESSIONAL FEES
PROFESSIONAL FEES - PHYSICAL THERAPY,0977,PROFESSIONAL FEES
PROFESSIONAL FEES - OCCUPATIONAL THERAPY,0978,PROFESSIONAL FEES
PROFESSIONAL FEES - SPEECH PATHOLOGY,0979,PROFESSIONAL FEES
PROFESSIONAL FEES - EMERGENCY ROOM SERVICES,0981,PROFESSIONAL FEES
PROFESSIONAL FEES - OUTPATIENT SERVICES,0982,PROFESSIONAL FEES
PROFESSIONAL FEES - CLINIC,0983,PROFESSIONAL FEES
PROFESSIONAL FEES - MEDICAL SOCIAL SERVICES,0984,PROFESSIONAL FEES
PROFESSIONAL FEES - EKG,0985,PROFESSIONAL FEES
PROFESSIONAL FEES - EEG,0986,PROFESSIONAL FEES
PROFESSIONAL FEES - HOSPITAL VISIT,0987,PROFESSIONAL FEES
PROFESSIONAL FEES - CONSULTATION,0988,PROFESSIONAL FEES
PROFESSIONAL FEES - PRIVATE DUTY NURSE,0989,PROFESSIONAL FEES
PATIENT CONVENIENCE ITEMS - GENERAL CLASSIFICATION,0990,PATIENT CONVENIENCE ITEMS
PATIENT CONVENIENCE ITEMS -CAFETERIA/GUEST TRAY,0991,PATIENT CONVENIENCE ITEMS
PATIENT CONVENIENCE ITEMS -PRIVATE LINEN SERVICE,0992,PATIENT CONVENIENCE ITEMS
PATIENT CONVENIENCE ITEMS -TELEPHONE/TELECOM,0993,PATIENT CONVENIENCE ITEMS
PATIENT CONVENIENCE ITEMS -TV/RADIO,0994,PATIENT CONVENIENCE ITEMS
PATIENT CONVENIENCE ITEMS -NON-PATIENT ROOM RENTALS,0995,PATIENT CONVENIENCE ITEMS
PATIENT CONVENIENCE ITEMS -LATE DISCHARGE,0996,PATIENT CONVENIENCE ITEMS
PATIENT CONVENIENCE ITEMS -ADMISSION KITS,0997,PATIENT CONVENIENCE ITEMS
PATIENT CONVENIENCE ITEMS -BEAUTY SHOP/BARBER,0998,PATIENT CONVENIENCE ITEMS
OTHER CONVENIENCE ITEMS,0999,PATIENT CONVENIENCE ITEMS
